名称,评分,评价人数,导演,主演,上映日期,类型,简介
小森林 夏秋篇,9.0,456614,森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2014,剧情,那些静得只能听见呼吸的日子里，你明白孤独即生活。
天使爱美丽,8.7,998258,让-皮埃尔·热内 Jean-Pierre Jeunet,奥黛丽·塔图 Audrey Tau...,2001,剧情 喜剧 爱情,暂无简介
驯龙高手,8.8,819665,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...,暂无主演信息,2010,动画 奇幻 冒险,和谐的生活离不开摸头与被摸头。
新世界,8.9,498847,朴勋政 Hoon-jung Park,李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,2013,剧情 犯罪,要做就做得狠一点，这样才能活下去。
侧耳倾听,8.9,501789,近藤喜文 Yoshifumi Kondo,本名阳子 Youko Honna / 小林桂树 K...,1995,剧情 爱情 动画,暂无简介
请以你的名字呼唤我,8.8,789535,卢卡·瓜达尼诺 Luca Guadagnino,艾米·汉莫 Armie Hammer / ...,2017,剧情 爱情 同性,沉醉在电影的情感和视听氛围中无法自拔。
花样年华,8.8,745424,王家卫 Kar Wai Wong,张曼玉 Maggie Cheung / 梁朝伟 Tony Leu...,2000,剧情 爱情,暂无简介
怪兽电力公司,8.8,737360,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,约...,2001,儿童 喜剧 动画 奇幻 冒险,暂无简介
傲慢与偏见,8.7,879150,乔·怀特 Joe Wright,凯拉·奈特莉 Keira Knightley / 马修·...,2005,剧情 爱情,爱是摈弃傲慢与偏见之后的曙光。
一个叫欧维的男人决定去死,8.9,537175,汉内斯·赫尔姆 Hannes Holm,罗夫·拉斯加德 Rolf Lassgård...,2015,剧情,惠及一生的美丽。
教父3,9.0,411485,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,1990,剧情 犯罪,暂无简介
玩具总动员3,8.9,566069,李·昂克里奇 Lee Unkrich,汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,2010,喜剧 动画 奇幻 冒险,跨度十五年的欢乐与泪水。
幸福终点站,8.8,617330,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,2004,喜剧 剧情 爱情,有时候幸福需要等一等。 
色，戒,8.7,911736,李安 Ang Lee,梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,2007,剧情 爱情 情色,假戏真情，爱欲深海
小森林 冬春篇,9.0,406480,森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2015,剧情,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
哪吒闹海,9.2,292108,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,梁正晖 Zhenghui ...,1979,冒险 动画 奇幻,暂无简介
被解救的姜戈,8.8,661896,昆汀·塔伦蒂诺 Quentin Tarantino,杰米·福克斯 Jamie Foxx /...,2012,剧情 动作 西部 冒险,热血沸腾，那个低俗、性感的无耻混蛋又来了。
釜山行,8.6,1298763,延尚昊 Sang-ho Yeon,孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,2016,动作 惊悚 灾难,揭露人性的丧尸题材力作。
九品芝麻官,8.8,755836,王晶 Jing Wong,周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,1994,剧情 喜剧 古装,暂无简介
神偷奶爸,8.7,1014413,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,...,2010,喜剧 动画 冒险,Mr. I Don't Care其实也有Care的时候。
萤火之森,8.8,586322,大森贵弘 Takahiro Omori,佐仓绫音 Ayane Sakura / 内山昂辉 K...,2011,剧情 爱情 动画 奇幻,触不到的恋人。
告白,8.8,717011,中岛哲也 Tetsuya Nakashima,松隆子 Takako Matsu / 冈田将生 ...,2010,剧情 悬疑,没有一人完全善，也没有一人完全恶。
喜宴,9.0,405814,李安 Ang Lee,赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...,1993,剧情 喜剧 爱情 同性 家庭,暂无简介
玛丽和马克思,9.0,445215,亚当·艾略特 Adam Elliot,托妮·科莱特 Toni Collette / 菲利...,2009,剧情 喜剧 动画,你是我最好的朋友，你是我唯一的朋友 。
模仿游戏,8.8,698662,莫滕·泰杜姆 Morten Tyldum,本尼迪克特·康伯巴奇 Benedict C...,2014,剧情 传记 战争 同性,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
头号玩家,8.6,1463396,史蒂文·斯皮尔伯格 Steven Spielberg,泰伊·谢里丹 Tye Sheri...,2018,动作 科幻 冒险,写给影迷，动漫迷和游戏迷的一封情书。
大鱼,8.8,606458,蒂姆·波顿 Tim Burton,伊万·麦克格雷格 Ewan McGregor / 阿...,2003,剧情 爱情 奇幻 冒险,暂无简介
七武士,9.3,220308,黑泽明 Akira Kurosawa,三船敏郎 Toshirô Mifune / 志村乔 ...,1954,动作 冒险 剧情,暂无简介
射雕英雄传之东成西就,8.7,692282,刘镇伟 Jeffrey Lau,梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,1993,喜剧 奇幻 武侠 古装,暂无简介
惊魂记,9.0,335190,阿尔弗雷德·希区柯克 Alfred Hitchcock,安东尼·博金斯 Antho...,1960,悬疑 惊悚 恐怖,暂无简介
